_id;ingresoId;tupaId;cantidad;importe;igv;detalle;createdAt;updatedAt;__v
2335;39900;0003;2;15;0;;;;
2336;39900;0035;1;9;0;;;;
2337;39901;0003;3;15;0;;;;
2338;39901;0035;1;9;0;;;;
2339;39902;0001;1;15;0;;;;
2340;39902;0014;1;10;0;;;;
2341;39904;0003;3;15;0;;;;
2342;39904;0035;1;9;0;;;;
2343;39905;0003;3;15;0;;;;
2344;39906;0001;1;15;0;;;;
2345;39906;0014;1;10;0;;;;
2346;39907;0001;1;15;0;;;;
2347;39907;0014;1;10;0;;;;
2348;39908;0001;1;15;0;;;;
2349;39908;0014;1;10;0;;;;
2350;39909;0001;1;15;0;;;;
2351;39909;0014;1;10;0;;;;
2352;39910;0003;3;15;0;;;;
2353;39910;0035;1;9;0;;;;
2354;39911;0001;1;15;0;;;;
2355;39911;0014;1;10;0;;;;
2356;39912;0001;1;15;0;;;;
2357;39912;0014;1;10;0;;;;
2358;39913;0003;2;15;0;;;;
2359;39913;0035;1;9;0;;;;
2360;39914;0003;4;15;0;;;;
2361;39914;0035;1;9;0;;;;
2362;39915;0003;2;15;0;;;;
2363;39915;0035;1;9;0;;;;
2364;39916;0003;2;15;0;;;;
2365;39916;0035;1;9;0;;;;
2366;39917;0003;3;15;0;;;;
2367;39917;0035;1;9;0;;;;
2368;39918;0003;3;15;0;;;;
2369;39918;0035;1;9;0;;;;
2370;39919;0003;3;15;0;;;;
2371;39919;0035;1;9;0;;;;
2372;39920;0001;1;15;0;;;;
2373;39920;0014;1;10;0;;;;
2374;39921;0001;1;15;0;;;;
2375;39921;0014;1;10;0;;;;
2376;39922;0001;1;15;0;;;;
2377;39922;0014;1;10;0;;;;
2378;39923;0003;4;15;0;;;;
2379;39923;0035;1;9;0;;;;
2380;39924;0003;4;15;0;;;;
2381;39924;0035;1;9;0;;;;
2382;39925;0001;1;15;0;;;;
2383;39925;0021;1;10;0;;;;
2384;39926;0001;1;15;0;;;;
2385;39926;0014;1;10;0;;;;
2386;39927;0023;1;10;0;NOTARIO  ANIBAL MACASSI AÑO-1988;;;
2387;39928;0001;1;15;0;;;;
2388;39928;0014;1;10;0;;;;
2389;39929;0001;1;15;0;;;;
2390;39929;0014;1;10;0;;;;
2391;39930;0003;2;15;0;;;;
2392;39931;0003;2;15;0;;;;
2393;39931;0035;1;9;0;;;;
2394;39932;0001;1;15;0;;;;
2395;39932;0014;1;10;0;;;;
2396;39933;0001;1;15;0;;;;
2397;39933;0014;1;10;0;;;;
2398;39934;0001;1;15;0;;;;
2399;39934;0014;1;10;0;;;;
2400;39935;0001;1;15;0;;;;
2401;39935;0014;1;10;0;;;;
2402;39936;0001;1;15;0;;;;
2403;39936;0014;1;10;0;;;;
2404;39937;0001;1;15;0;;;;
2405;39937;0014;1;10;0;;;;
2406;39938;0003;4;15;0;;;;
2407;39938;0035;1;9;0;;;;
2408;39939;0003;3;15;0;;;;
2409;39939;0035;1;9;0;;;;
2410;39940;0003;2;15;0;;;;
2411;39940;0035;1;9;0;;;;
2412;39941;0001;1;15;0;;;;
2413;39941;0014;1;10;0;;;;
2414;39942;0001;1;15;0;;;;
2415;39942;0014;1;10;0;;;;
2416;39944;0003;4;15;0;;;;
2417;39945;0003;4;15;0;;;;
2418;39947;0003;3;15;0;;;;
2419;39947;0035;1;9;0;;;;
2420;39948;0001;1;15;0;;;;
2421;39948;0014;1;10;0;;;;
2422;39949;0014;1;10;0;;;;
2423;39949;0001;1;15;0;;;;
2424;39950;0001;1;15;0;;;;
2425;39950;0014;1;10;0;;;;
2426;39951;0023;1;10;0;;;;
2427;39952;0001;1;15;0;;;;
2428;39952;0014;1;10;0;;;;
2429;39953;0003;4;15;0;;;;
2430;39953;0035;1;9;0;;;;
2431;39954;0009;500;0.2;0;;;;
2432;39955;0001;1;15;0;;;;
2433;39955;0021;1;10;0;;;;
2434;39956;0003;2;15;0;;;;
2435;39956;0035;1;9;0;;;;
2436;39957;0001;1;15;0;;;;
2437;39957;0014;1;10;0;;;;
2438;39958;0001;1;15;0;;;;
2439;39958;0014;1;10;0;;;;
2440;39959;0003;3;15;0;;;;
2441;39959;0035;1;9;0;;;;
2442;39961;0001;1;15;0;;;;
2443;39961;0014;1;10;0;;;;
2444;39962;0003;2;15;0;;;;
2445;39962;0035;1;9;0;;;;
2446;39963;0001;1;15;0;;;;
2447;39963;0014;1;10;0;;;;
2448;39964;0003;4;15;0;;;;
2449;39964;0035;1;9;0;;;;
2450;39965;0003;3;15;0;;;;
2451;39965;0035;1;9;0;;;;
2452;39966;0001;1;15;0;;;;
2453;39966;0014;1;10;0;;;;
2454;39967;0001;1;15;0;;;;
2455;39967;0014;1;10;0;;;;
2456;39968;0001;1;15;0;;;;
2457;39968;0014;1;10;0;;;;
2458;39969;0001;1;15;0;;;;
2459;39969;0021;1;10;0;;;;
2460;39970;0001;1;15;0;;;;
2461;39970;0014;1;10;0;;;;
2462;39971;0001;1;15;0;;;;
2463;39971;0014;1;10;0;;;;
2464;39972;0001;1;15;0;;;;
2465;39972;0014;1;10;0;;;;
2466;39973;0001;1;15;0;;;;
2467;39973;0014;1;10;0;;;;
2468;39974;0040;1;15;0;;;;
2469;39975;0001;1;15;0;;;;
2470;39975;0014;1;10;0;;;;
2471;39976;0003;2;15;0;;;;
2472;39976;0035;1;9;0;;;;
